text,filename,,,
"æ, ø, å. Et æble, en ø, et år.",d0-l01-a.mp3,,,
"A B C D E F G H I J K L M N O P Q R S T U V W X Y Z Æ Ø Å et æble · en ø · et år · mad · en gade · tak Her er en kat og en hund. En kat er i et hus. En hund er på en gade. Her er en bil og en bog. En bil er på en gade, og en bog er i en skole. Her er mad: et æble. Et æble er mad. Æ, ø og å er tre nye bogstaver. Et æble, en ø og et år har de nye bogstaver. Æ er i æble. Ø er i ø. Å er i år. Vi staver: K-A-T er en kat. H-U-S er et hus. B-I-L er en bil. B-O-G er en bog. Et navn har også bogstaver: S-A-R-A er et navn. Hør bogstaverne: A, B, C, D, E, F, G. H, I, J, K, L, M, N. O, P, Q, R, S, T, U. V, W, X, Y, Z — og Æ, Ø, Å. Nu har du alfabetet! Mad og gade har et blødt d. Hej, ja, nej, og og tak er små ord. Hej! Jeg er Sara, og du er Omar. Et æble til dig? — Ja tak! Hej hej! Et år, to år. En gade, et hus. En kat, en hund. Du og jeg — jeg og du. Ja, ja, ja! Nej, nej, nej! Æ, ø, å. Æ, ø, å. Æ, ø, å! Og tak for i dag! Dialog: Navne og bogstaver — Hej! Jeg hedder Sara. Hvad er dit navn? — Mit navn er Omar. Jeg staver: O-M-A-R. — Tak! Kan du stave mit navn? — Ja. S-A-R-A. Det er et godt navn. — Her er en dreng og en pige. En dreng hedder Åge. Å-G-E. Et navn med å! — Og en pige hedder Søs. S-Ø-S. Et navn med ø! — Æ, ø og å er tre bogstaver. Et bogstav, to bogstaver. — Er en kat et bogstav? — Nej! En kat er ikke et bogstav. K-A-T er tre bogstaver: k, a og t. — Og et æble? — Æ-B-L-E. Fire bogstaver — og et æble er mad! — Tak for i dag! Hej hej!",d0-l01-t.mp3,,,
æ — et æble,d0-l01-c1.mp3,,,
ø — en ø,d0-l01-c2.mp3,,,
å — et år,d0-l01-c3.mp3,,,
mad,d0-l01-c4.mp3,,,
en kat og en hund,d0-l01-c5.mp3,,,
K-A-T — kat,d0-l01-c6.mp3,,,
et æble,d0-l01-v01.mp3,,,
en ø,d0-l01-v02.mp3,,,
et år,d0-l01-v03.mp3,,,
en gade,d0-l01-v05.mp3,,,
tak,d0-l01-v06.mp3,,,
ja,d0-l01-v07.mp3,,,
nej,d0-l01-v08.mp3,,,
og,d0-l01-v09.mp3,,,
jeg,d0-l01-v10.mp3,,,
du,d0-l01-v11.mp3,,,
hej,d0-l01-v12.mp3,,,
en kat,d0-l01-v13.mp3,,,
en hund,d0-l01-v14.mp3,,,
et hus,d0-l01-v15.mp3,,,
en bil,d0-l01-v16.mp3,,,
en bog,d0-l01-v17.mp3,,,
en skole,d0-l01-v18.mp3,,,
et navn,d0-l01-v19.mp3,,,
at stave (staver),d0-l01-v20.mp3,,,
en dreng,d0-l01-v21.mp3,,,
en pige,d0-l01-v22.mp3,,,
et bogstav,d0-l01-v23.mp3,,,
A B C D E F G H I J K L M N O P Q R S T U V W X Y Z Æ Ø Å et æble · en ø · et år · mad · en gade · tak,d0-l01-r9.mp3,,,
Her er en kat og en hund. En kat er i et hus. En hund er på en gade.,d0-l01-r12.mp3,,,
En dreng hedder Åge. Å-G-E. Et navn med å!,d0-l01-r16.mp3,,,
Hej! Jeg hedder Sara. Hvad hedder du?,d0-l02-a.mp3,,,
"— Hej! Hvad hedder du? — Jeg hedder Sara. Og du? — Jeg hedder Omar. Jeg er fra Iran. — Hvordan går det? — Det går godt, tak! — Velkommen, Omar! Taler du dansk? — Ja, jeg taler lidt dansk. Jeg taler også persisk. — Godt! Vi ses! — Farvel! Sara er fra Iran. Hun taler persisk, og hun taler lidt dansk. Omar er også fra Iran. Han taler persisk og dansk. Sara og Omar taler dansk i en skole. Godmorgen! Jeg hedder Lena, og jeg er fra Danmark. Goddag! Jeg hedder Ali, og jeg er fra Iran. Godaften! Jeg hedder Sara. Hvordan går det? Det går godt, tak. Og du? Det går godt! Dansk er et sprog. Persisk er også et sprog. Lena taler dansk. Ali og Sara taler persisk og lidt dansk. De taler dansk i en skole, og det går godt. Hvad taler du? — Godaften! Hvad hedder du? — Jeg hedder Mina, og jeg er fra Iran. Og du? — Jeg hedder Lars. Jeg er fra Danmark. Velkommen! — Tak! Hvordan går det? — Det går godt, tak! Vi ses! Sara og Lena Sara er i en skole i Danmark. Lena er også i skolen. Lena siger godmorgen, og Sara siger hej. De taler dansk. Sara taler lidt dansk, og hun taler også persisk. Lena er fra Danmark, og hun taler dansk. Sara siger: «Jeg hedder Sara. Hvad hedder du?» Lena siger: «Jeg hedder Lena. Velkommen!» Det går godt. Sara og Lena er venner. En ven er god. Om aftenen siger Sara godaften. Lena siger farvel og vi ses. I morgen taler de dansk igen. Sara siger tak for i dag. Det er en god dag i skolen.",d0-l02-t.mp3,,,
Hej! Jeg hedder Omar.,d0-l02-c1.mp3,,,
Hvad hedder du?,d0-l02-c2.mp3,,,
Jeg er fra Iran.,d0-l02-c3.mp3,,,
"Hvordan går det? — Det går godt, tak.",d0-l02-c4.mp3,,,
Jeg taler lidt dansk.,d0-l02-c5.mp3,,,
Velkommen!,d0-l02-c6.mp3,,,
godmorgen,d0-l02-v02.mp3,,,
goddag,d0-l02-v03.mp3,,,
godaften,d0-l02-v04.mp3,,,
farvel,d0-l02-v05.mp3,,,
vi ses,d0-l02-v06.mp3,,,
at hedde,d0-l02-v07.mp3,,,
at være (er),d0-l02-v08.mp3,,,
fra,d0-l02-v09.mp3,,,
hvordan går det?,d0-l02-v10.mp3,,,
det går godt,d0-l02-v11.mp3,,,
undskyld,d0-l02-v12.mp3,,,
hun,d0-l02-v13.mp3,,,
han,d0-l02-v14.mp3,,,
at tale (taler),d0-l02-v15.mp3,,,
et sprog,d0-l02-v16.mp3,,,
dansk,d0-l02-v17.mp3,,,
persisk,d0-l02-v18.mp3,,,
lidt,d0-l02-v19.mp3,,,
velkommen,d0-l02-v20.mp3,,,
en ven,d0-l02-v21.mp3,,,
at sige (siger),d0-l02-v22.mp3,,,
igen,d0-l02-v23.mp3,,,
jeg hedder Omar,d0-l02-l6.mp3,,,
"— Hej! Hvad hedder du? — Jeg hedder Sara. Og du? — Jeg hedder Omar. Jeg er fra Iran. — Hvordan går det? — Det går godt, tak!",d0-l02-r9.mp3,,,
"Sara er fra Iran. Hun taler persisk, og hun taler lidt dansk. Omar er også fra Iran. Han taler persisk og dansk.",d0-l02-r12.mp3,,,
jeg taler lidt dansk,d0-l02-l13.mp3,,,
"Sara taler lidt dansk, og hun taler også persisk.",d0-l02-r16.mp3,,,
"En, to, tre, fire, fem. Hvad er klokken? Klokken er fem.",d0-l03-a.mp3,,,
